planetID,starID,L_st,R_st,T_eff_st,d,contrast,a,S,S_abs,a_eff,R_eff,has_H2O,age,EEC,has_O2
209,126,0.0191501,0.40490525,3377.2905,6.751,8.252140474235831e-10,0.9537664283175766,0.021051690815170058,5.010302414010474,6.8921783706697415,2.1174760978472746,,4.034620478974739,0.0,
210,127,0.0242079,0.4271876,3486.4411,2.547,1.5998693132242683e-07,0.05850669653671776,7.0720604164892,1683.1503791244297,0.3760339172617161,1.8085936861724987,0.0,0.47805443359963906,0.0,
214,128,0.0238218,0.42562043,3478.8426,4.848,7.271465128616422e-10,0.8063904678777792,0.03663395462994271,8.718881201926365,5.224660780007522,1.680542605522501,0.0,2.7634988124952735,0.0,
215,128,0.0238218,0.42562043,3478.8426,4.848,8.013378541653087e-09,0.3191839652605453,0.23382580742974762,55.650542168279934,2.0680154482639654,2.20821865283068,,2.949631441064147,0.0,
216,128,0.0238218,0.42562043,3478.8426,4.848,7.318086881525027e-10,1.3966045850040476,0.012213148765423459,2.906729406170783,9.048699719445677,2.919882821597757,,3.2261586705565426,0.0,
217,128,0.0238218,0.42562043,3478.8426,4.848,8.854276074504751e-09,1.0291802196124045,0.022490116897581326,5.352647821624355,6.668131312513781,7.4844715031328235,,3.6524568884181847,0.0,
218,128,0.0238218,0.42562043,3478.8426,4.848,2.4705823803598454e-08,0.1495076828155349,1.0657308880554595,253.64395135719934,0.9686708335874344,1.8161694219395286,0.0,3.4271674824953693,0.0,
221,130,0.342248,0.78264284,4994.6584,12.117,1.2462563942116962e-09,3.203542840360929,0.03334877201294772,7.937007739081557,5.475957598529605,8.74032164153433,,0.6357624050466949,0.0,
223,132,0.81437,0.95414934,5618.2315,18.209,2.580211791412632e-10,1.8426619608268882,0.2398448654150894,57.08307796879128,2.0419014955421924,2.287528572208565,,3.0484291812047335,0.0,
224,132,0.81437,0.95414934,5618.2315,18.209,9.316584970686315e-11,0.9008378992935162,1.003525628767718,238.83909964671685,0.9982418332351548,0.6719983438749465,1.0,3.703516362735226,1.0,1.0
226,134,0.367746,0.79560314,5043.6055,9.544,3.266668121327282e-11,3.4669454472766668,0.030595245436960135,7.281668413996512,5.717063674613067,1.531414286131694,0.0,2.4799247627183147,0.0,
229,135,0.641985,0.90366107,5439.7733,9.579,7.908954365100333e-10,0.7038868677372903,1.2957438475474379,308.3870357162902,0.8784972822819948,1.5298736921667568,0.0,5.8889497911674304,0.0,
230,136,0.853493,0.96443809,5654.1221,9.292,1.5614937751436843e-10,3.061819298271346,0.09104180332668085,21.667949191750044,3.3142065725677354,2.9569423924316367,,7.828663213252616,0.0,
233,138,0.00482858,0.29551984,2801.3276,3.375,5.006020730542767e-10,0.9563161412652683,0.005279787688372742,1.2565894698327125,13.762323762064941,1.6536400686304515,,4.146869420843945,0.0,
234,138,0.00482858,0.29551984,2801.3276,3.375,1.607164717778283e-08,0.4117139743462361,0.02848578651442325,6.779617190432734,5.924966407889684,4.0338429135270095,,4.5279570204505015,0.0,
